date,reply_to,mentions,nlikes_sum,nreplies_sum,nretweets_sum,photos_sum,videos_sum,nr_night_posts,nr_morning_posts,nr_afternoon_posts,nr_evening_posts,nr_positive,nr_negative,nr_neutral
2010-06-04,0,0,4652.0,391.0,348.0,0,0,0,0,0,0,0,0,1
2011-12-28,0,0,12.0,7.0,1.0,0,0,0,0,0,0,1,0,0
2011-12-27,0,0,39.0,13.0,34.0,0,0,0,0,0,0,1,0,0
2011-12-26,0,0,558.0,102.0,171.0,2,2,0,0,0,0,1,2,3
2011-12-26,0,0,558.0,102.0,171.0,2,2,0,0,0,0,1,2,3
2011-12-26,0,0,558.0,102.0,171.0,2,2,0,0,0,0,1,2,3
2011-12-26,0,0,558.0,102.0,171.0,2,2,0,0,0,0,1,2,3
2011-12-26,0,0,558.0,102.0,171.0,2,2,0,0,0,0,1,2,3
2011-12-26,0,0,558.0,102.0,171.0,2,2,0,0,0,0,1,2,3
2011-12-24,0,0,117113.0,1370.0,8434.0,1,1,0,0,0,0,2,0,1
2011-12-24,0,0,117113.0,1370.0,8434.0,1,1,0,0,0,0,2,0,1
2011-12-24,0,0,117113.0,1370.0,8434.0,1,1,0,0,0,0,2,0,1
2011-12-22,0,0,1349.0,132.0,206.0,2,2,0,0,0,0,1,2,0
2011-12-22,0,0,1349.0,132.0,206.0,2,2,0,0,0,0,1,2,0
2011-12-22,0,0,1349.0,132.0,206.0,2,2,0,0,0,0,1,2,0
2011-12-21,0,0,1330.0,87.0,597.0,0,0,0,0,0,0,3,2,2
2011-12-21,0,0,1330.0,87.0,597.0,0,0,0,0,0,0,3,2,2
2011-12-21,0,0,1330.0,87.0,597.0,0,0,0,0,0,0,3,2,2
2011-12-21,0,0,1330.0,87.0,597.0,0,0,0,0,0,0,3,2,2
2011-12-21,0,0,1330.0,87.0,597.0,0,0,0,0,0,0,3,2,2
2011-12-21,0,0,1330.0,87.0,597.0,0,0,0,0,0,0,3,2,2
2011-12-21,0,0,1330.0,87.0,597.0,0,0,0,0,0,0,3,2,2
2011-12-04,0,0,65.0,17.0,9.0,0,0,0,0,0,0,1,0,0
2011-12-03,0,0,82.0,38.0,31.0,0,0,0,0,0,0,1,0,1
2011-12-03,0,0,82.0,38.0,31.0,0,0,0,0,0,0,1,0,1
2011-12-01,0,0,267.0,63.0,24.0,1,1,0,0,0,0,1,0,1
2011-12-01,0,0,267.0,63.0,24.0,1,1,0,0,0,0,1,0,1
2012-12-25,0,0,7.0,7.0,2.0,0,0,0,0,0,0,2,0,0
2012-12-25,0,0,7.0,7.0,2.0,0,0,0,0,0,0,2,0,0
2012-12-24,0,0,638.0,143.0,871.0,2,2,0,0,0,0,0,2,2
2012-12-24,0,0,638.0,143.0,871.0,2,2,0,0,0,0,0,2,2
2012-12-24,0,0,638.0,143.0,871.0,2,2,0,0,0,0,0,2,2
2012-12-24,0,0,638.0,143.0,871.0,2,2,0,0,0,0,0,2,2
2012-12-19,0,0,98.0,38.0,138.0,0,0,0,0,0,0,2,0,0
2012-12-19,0,0,98.0,38.0,138.0,0,0,0,0,0,0,2,0,0
2012-12-17,0,0,200.0,23.0,325.0,0,0,0,0,0,0,1,0,0
2012-12-14,0,0,111.0,61.0,225.0,0,0,0,0,0,0,1,3,1
2012-12-14,0,0,111.0,61.0,225.0,0,0,0,0,0,0,1,3,1
2012-12-14,0,0,111.0,61.0,225.0,0,0,0,0,0,0,1,3,1
2012-12-14,0,0,111.0,61.0,225.0,0,0,0,0,0,0,1,3,1
2012-12-14,0,0,111.0,61.0,225.0,0,0,0,0,0,0,1,3,1
2012-12-12,0,0,212.0,94.0,345.0,0,0,0,0,0,0,6,0,1
2012-12-12,0,0,212.0,94.0,345.0,0,0,0,0,0,0,6,0,1
